id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
30284277,"City Flat; Sleeps 6; Steps to Zoo, Near Downtown",142047837,Kate,,Lincoln Park,41.9207,-87.64236,Entire home/apt,154,3,48,2020-03-27,2.4,2,0
20235190,302 Sweet Sensation room Andersonville Free wifi,127235673,Alex,,Edgewater,41.98532,-87.67212,Private room,36,1,37,2020-07-23,0.97,11,351
18123049,Fun & Funky Musician Condo (Entire Home),36370758,Rebecca,,Irving Park,41.96015,-87.71004,Entire home/apt,120,3,16,2019-08-12,0.39,1,0
27398743,"Modern Urban Suite - West Town, Centrally Located",29622436,Dina,,West Town,41.8955,-87.66042,Entire home/apt,79,2,81,2020-08-29,3.11,1,0
25184769,Sonder | 943 Crosby | Lively 1BR,12243051,Sonder,,Near North Side,41.89917,-87.64299,Entire home/apt,84,30,4,2020-09-05,0.2,47,79
6975132,Mayfair 2BR near Blue Line (Monthly availability),36549783,Jeffrey,,Irving Park,41.9641,-87.73456,Entire home/apt,135,2,43,2020-03-29,0.69,12,216
35966430,Pretty place on Albany,17847673,Patrick,,Avondale,41.93551,-87.70646,Entire home/apt,139,1,92,2020-03-13,6.16,2,170
16716143,Entire Unique Home in Edison Park,30561059,Brendan,,Edison Park,42.01327,-87.80995,Entire home/apt,129,2,207,2020-09-13,4.74,2,315
45456904,"Private Master Bedroom, Jacuzzi, Outdoor Patio",360749537,Jessica,,West Town,41.89892,-87.68858,Private room,50,1,0,,,3,138
27111461,Elegant vintage room #2 in Ravenswood,23503681,Francesca,,Lincoln Square,41.96575,-87.68148,Private room,80,1,7,2020-02-16,0.28,4,1
29585534,Cozy Lincoln Park Apartment 2 Bedroom,9265623,Phillip & Michelle,,Lake View,41.93569,-87.65102,Entire home/apt,97,1,24,2019-11-01,1.05,2,0
1392594,"Bright open house, garden & deck",7528098,Eileen,,Uptown,41.96952,-87.67239,Entire home/apt,168,3,24,2019-09-16,0.28,1,341
44162298,Spacious Hideaway minutes from Downtown!,169297663,William,,West Town,41.89952,-87.66252,Entire home/apt,100,2,4,2020-09-14,4.0,8,333
36426526,Clean one bedroom with private bathroom,1502097,Tim,,West Town,41.90467,-87.66705,Private room,80,2,8,2019-11-14,0.55,1,0
42566754,"The Robey, Queen + Twin Loft",317101665,The Robey Hotel,,West Town,41.90948,-87.67849,Private room,130,1,0,,,8,4
26597961,Old Irving Guest Suite,17999173,Meredith,,Irving Park,41.94916,-87.73007,Private room,160,2,5,2019-10-14,0.2,2,364
15649553,MONTHLY Rent Avail 3 beds & 2 baths entire place.,16479196,Marco,,Lincoln Park,41.92232,-87.64575,Entire home/apt,177,4,80,2020-02-02,1.69,3,133
44559616,Cozy First Floor Bedroom,20067617,James,,Portage Park,41.94401,-87.76927,Private room,25,4,1,2020-08-17,0.81,1,175
6362890,Gold Coast Modern One bdrm Gorgeous view,7775903,Chelsi & Serhat,,Near North Side,41.90974,-87.63133,Entire home/apt,80,28,17,2020-03-21,0.27,1,278
34816864,给您一个温馨的家,42071010,Jenny,,Bridgeport,41.82831,-87.64522,Entire home/apt,366,30,0,,,2,0
3907071,2 A Walk in Hyde Park,2140,Lois,,Hyde Park,41.7961,-87.5929,Private room,25,1,70,2020-07-18,0.97,5,263
42638201,Heidi's Hideaway,252285450,Heidi,,Kenwood,41.81069,-87.6022,Entire home/apt,85,2,9,2020-09-04,1.41,1,173
26961273,(Entire house) Extended Stay Apt for Professionals,202878032,Ade And J Shuntay,,South Shore,41.7663,-87.56847,Entire home/apt,60,32,22,2020-03-01,0.83,4,231
23092783,Edel space,75943777,Edelia,,Brighton Park,41.82412,-87.68971,Private room,39,15,11,2019-06-01,0.36,2,364
21567141,Mattioli guest suite (private lower level),156830366,Ryan,,West Ridge,41.99542,-87.68967,Entire home/apt,41,1,94,2020-03-15,2.7,1,0
15566486,Vintage Fairytale Gingerbread Tudor House & Garden,4379932,Georgios,,Forest Glen,41.98986,-87.74264,Entire home/apt,299,2,55,2020-09-06,1.38,1,362
39328389,Free Parking & King Bed in Desirable Norwood Park!,171717935,Erin,,Norwood Park,41.99451,-87.80647,Entire home/apt,79,3,39,2020-09-12,4.09,1,22
16109014,Cozy one bedroom apartment close to OHare/Rosemont,105023349,Ilya,,Ohare,41.9727,-87.84363,Entire home/apt,150,1,40,2020-08-30,0.86,1,90
39608107,Near UChicago Happy Home Private w/ Free Parking,91186260,Jessie,,Washington Park,41.79677,-87.62689,Private room,28,6,3,2020-01-02,0.29,6,1
44305841,"Grant Park VIEWS #25 Mich Ave, Museum Park 2bd/2ba",335157368,Josh+Bella,,Near South Side,41.86607,-87.62506,Entire home/apt,111,2,8,2020-09-06,4.71,7,161
43222871,The Grand Chicago,18290815,Benton,,West Town,41.9084,-87.69648,Entire home/apt,117,2,4,2020-08-17,1.05,1,365
43364707,"West loop, UIC, Little Italy: True Chicago Style!",6427167,Lynn,,Near West Side,41.86836,-87.66413,Entire home/apt,110,2,2,2020-08-30,1.15,3,76
21263727,#6 Historic Chicago Home - Bunk Bedroom (Singlex2),163699318,Natalie,,Rogers Park,42.01,-87.66465,Private room,44,1,101,2020-08-30,2.83,7,11
33810838,"2F-2BR Apt in Bridgeport along Archer Ave.
聚华坊",150847041,Henry,,Bridgeport,41.8403,-87.65903,Entire home/apt,118,2,20,2020-09-07,1.2,2,24
45121188,Live + Work + Stay + Easy | 1BR in Chicago,359234447,Kia,,Near North Side,41.89111,-87.62205,Entire home/apt,134,33,0,,,44,339
44150076,Breathtaking 2BD condo with expansive 9-foot ceilings,8534462,Barsala,,Near North Side,41.8897,-87.63429,Entire home/apt,324,2,0,,,47,45
29395575,Urban Oasis,221535744,Bart,,Edison Park,41.99853,-87.80685,Entire home/apt,99,2,37,2020-09-13,1.63,1,360
264547,Steps From the Best Chicago Offers,1387948,Dominic,,Near West Side,41.88467,-87.64487,Entire home/apt,204,10,65,2019-08-11,0.64,1,362
4417718,"Cozy, Bright Basement Guest Suite",1096941,Angela,,Irving Park,41.96063,-87.70653,Private room,36,30,13,2018-12-01,0.19,1,295
21425414,Spacious 5BR * Irving Park Chicago * Garage Access,154944238,Jacob,,Irving Park,41.95562,-87.72712,Entire home/apt,313,1,85,2020-03-11,2.51,1,362
40402278,Comfy room 3m from Subway,46820434,Ivan,,North Lawndale,41.85416,-87.70405,Private room,24,3,0,,,4,365
19454398,Bridgeport Home,96350945,Patrick,,Bridgeport,41.84507,-87.64503,Entire home/apt,190,2,34,2019-10-25,0.87,1,270
12855435,Private Room in Lincoln Park Condo,61868239,Michael,,Lincoln Park,41.9294,-87.66269,Private room,102,1,12,2019-08-12,0.23,2,0
19486763,Private Studio by Chinatown (Duplex),129327646,Roger,,Bridgeport,41.84398,-87.64006,Entire home/apt,55,1,127,2019-06-09,3.21,6,0
